time,open,high,low,close
2026-01-01T00:00:00,2058.8,2058.8,2058.8,2058.8
2026-01-01T01:00:00,2074.4,2074.4,2074.4,2074.4
2026-01-01T02:00:00,2127.7,2127.7,2127.7,2127.7
2026-01-01T03:00:00,2173.2,2173.2,2173.2,2173.2
2026-01-01T04:00:00,2181.0,2181.0,2181.0,2181.0
2026-01-01T05:00:00,2234.3,2234.3,2234.3,2234.3
2026-01-01T06:00:00,2241.9,2241.9,2241.9,2241.9
2026-01-01T07:00:00,2333.4,2333.4,2333.4,2333.4
2026-01-01T08:00:00,2340.9,2340.9,2340.9,2340.9
2026-01-01T09:00:00,2342.1,2342.1,2342.1,2342.1
2026-01-01T10:00:00,2394.2,2394.2,2394.2,2394.2
2026-01-01T11:00:00,2402.0,2402.0,2402.0,2402.0
2026-01-01T12:00:00,2447.5,2447.5,2447.5,2447.5
2026-01-01T13:00:00,2500.9,2500.9,2500.9,2500.9
2026-01-01T14:00:00,2516.4,2516.4,2516.4,2516.4
